attack,condition,aux_top1,aux_top3,aux_mrr
char_tfidf,c1_direct_redaction,0.5104166666666666,0.75,0.6622643849206349
char_tfidf,c1b_presidio_redaction,0.4791666666666667,0.6458333333333334,0.6113508597883598
char_tfidf,c2_consistent_pseudonym,0.4375,0.6979166666666666,0.6101934523809524
char_tfidf,c3_per_doc_pseudonym,0.3854166666666667,0.59375,0.5448495370370371
char_tfidf,c4_doc_local_anon,0.4791666666666667,0.6770833333333334,0.6226810515873016
char_tfidf,c5_linkguard,0.03125,0.1875,0.22562830687830684
char_tfidf,c6_aggressive_redaction,0.020833333333333332,0.1875,0.20985036375661373
char_tfidf,original,0.5208333333333334,0.75,0.6678778108465608
field_weighted,c1_direct_redaction,0.9791666666666666,1.0,0.9878472222222222
field_weighted,c1b_presidio_redaction,0.9583333333333334,1.0,0.9756944444444445
field_weighted,c2_consistent_pseudonym,0.9791666666666666,1.0,0.9878472222222222
field_weighted,c3_per_doc_pseudonym,0.9791666666666666,1.0,0.9878472222222222
field_weighted,c4_doc_local_anon,0.9791666666666666,1.0,0.9878472222222222
field_weighted,c5_linkguard,0.23958333333333334,0.6666666666666666,0.4807374338624339
field_weighted,c6_aggressive_redaction,0.11458333333333333,0.3645833333333333,0.31982060185185185
field_weighted,original,0.9791666666666666,1.0,0.9878472222222222
hybrid_tfidf,c1_direct_redaction,0.5729166666666666,0.78125,0.704902447089947
hybrid_tfidf,c1b_presidio_redaction,0.5104166666666666,0.6979166666666666,0.6435102513227514
hybrid_tfidf,c2_consistent_pseudonym,0.4583333333333333,0.6979166666666666,0.6299272486772486
hybrid_tfidf,c3_per_doc_pseudonym,0.3958333333333333,0.6354166666666666,0.5513640873015873
hybrid_tfidf,c4_doc_local_anon,0.5208333333333334,0.75,0.6613260582010582
hybrid_tfidf,c5_linkguard,0.03125,0.20833333333333334,0.22219328703703703
hybrid_tfidf,c6_aggressive_redaction,0.020833333333333332,0.1875,0.2119047619047619
hybrid_tfidf,original,0.6145833333333334,0.8020833333333334,0.7324776785714285
word_tfidf,c1_direct_redaction,0.7083333333333334,0.84375,0.7927496693121693
word_tfidf,c1b_presidio_redaction,0.59375,0.8020833333333334,0.7203786375661375
word_tfidf,c2_consistent_pseudonym,0.4270833333333333,0.6770833333333334,0.5897073412698414
word_tfidf,c3_per_doc_pseudonym,0.4270833333333333,0.6770833333333334,0.5897073412698414
word_tfidf,c4_doc_local_anon,0.6041666666666666,0.84375,0.7371941137566139
word_tfidf,c5_linkguard,0.041666666666666664,0.2604166666666667,0.25486111111111115
word_tfidf,c6_aggressive_redaction,0.052083333333333336,0.3125,0.2753265542328042
word_tfidf,original,0.7083333333333334,0.84375,0.7925016534391535
