condition,risk_tier,pair_precision,pair_recall,pair_f1,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,attr_exact_recovery,attr_coarse_recovery,aux_top1,aux_top3,aux_mrr,n_personas
original,T1,1.0,1.0,1.0,1.0,1.0,1.0,0.002840909090909091,0.36363636363636365,0.15625,0.53125,0.39312996031746034,32
original,T2,0.989010989010989,0.9375,0.9625668449197861,1.0,1.0,1.0,0.18181818181818182,1.0,0.96875,1.0,0.984375,32
original,T3,1.0,0.859375,0.9243697478991597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32
c1_direct_redaction,T1,0.09582309582309582,0.40625,0.1550695825049702,0.04894250352498825,0.6151583208666854,0.31862919743348406,0.002840909090909091,0.36363636363636365,0.15625,0.53125,0.39387400793650795,32
c1_direct_redaction,T2,0.24081632653061225,0.3072916666666667,0.2700228832951945,0.1164303711782182,0.6762726139719318,0.3657121013681909,0.18181818181818182,1.0,0.96875,1.0,0.984375,32
c1_direct_redaction,T3,0.35795454545454547,0.328125,0.3423913043478261,0.11350970956882286,0.6733060614093244,0.37237620279310085,1.0,1.0,1.0,1.0,1.0,32
c1b_presidio_redaction,T1,0.09182389937106918,0.3802083333333333,0.14792299898682879,0.06475718318014041,0.5795652843506766,0.3570204008545844,0.002840909090909091,0.29829545454545453,0.09375,0.40625,0.322594246031746,32
c1b_presidio_redaction,T2,0.09663409337676439,0.4635416666666667,0.15992812219227315,0.06629691732232684,0.6413114211395946,0.3300298004846982,0.11931818181818182,0.9431818181818182,0.6875,1.0,0.8385416666666667,32
c1b_presidio_redaction,T3,0.09874826147426982,0.3697916666666667,0.15587266739846323,0.049602498070814564,0.6279409604316919,0.3243254740638135,0.875,0.875,1.0,1.0,1.0,32
c2_consistent_pseudonym,T1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.36079545454545453,0.15625,0.53125,0.39387400793650795,32
c2_consistent_pseudonym,T2,1.0,0.9895833333333334,0.9947643979057592,1.0,1.0,1.0,0.0,0.9090909090909091,0.125,0.5,0.37524801587301587,32
c2_consistent_pseudonym,T3,1.0,0.8854166666666666,0.9392265193370166,1.0,1.0,1.0,0.8181818181818182,0.8181818181818182,1.0,1.0,1.0,32
c3_per_doc_pseudonym,T1,0.05263157894736842,0.16145833333333334,0.0793854033290653,-0.014964958811234257,0.5787092576610164,0.2623681761786601,0.0,0.36079545454545453,0.15625,0.53125,0.39387400793650795,32
c3_per_doc_pseudonym,T2,0.09896907216494845,0.5,0.16523235800344235,0.10363620119717681,0.6651666354403383,0.36605932109194383,0.0,0.9090909090909091,0.125,0.5,0.37524801587301587,32
c3_per_doc_pseudonym,T3,0.1271523178807947,0.5,0.20274551214361142,0.0776430068882899,0.6507793658428868,0.3410663167938931,0.8181818181818182,0.8181818181818182,1.0,1.0,1.0,32
c4_doc_local_anon,T1,0.09989484752891693,0.4947916666666667,0.1662292213473316,0.04765217929093805,0.6127648977558319,0.3176324126124572,0.002840909090909091,0.36363636363636365,0.15625,0.53125,0.39387400793650795,32
c4_doc_local_anon,T2,0.1425661914460285,0.3645833333333333,0.20497803806734993,0.04504423667067459,0.6237266319831002,0.3119409660107334,0.09090909090909091,1.0,0.65625,1.0,0.8177083333333333,32
c4_doc_local_anon,T3,0.16802168021680217,0.3229166666666667,0.22103386809269163,0.1145629984940599,0.6744029536007029,0.3723229895104895,0.8181818181818182,1.0,1.0,1.0,1.0,32
c5_linkguard,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03057180600113229,0.5477973489434362,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32
c5_linkguard,T2,0.019052271617000488,0.203125,0.034836980794997766,-0.02900524273166746,0.5653634427154297,0.25,0.0,0.17613636363636365,0.0,0.28125,0.22831101190476188,32
c5_linkguard,T3,0.023899848254931716,0.328125,0.04455445544554455,-0.03049916332522969,0.5470210503542731,0.25,0.0,0.1590909090909091,0.09375,0.3125,0.30665922619047614,32
c6_aggressive_redaction,T1,0.021052631578947368,0.6666666666666666,0.04081632653061224,-0.03696201474304091,0.4685966357598243,0.25,0.0,0.0,0.0625,0.3125,0.2796502976190476,32
c6_aggressive_redaction,T2,0.017719897523484202,0.4322916666666667,0.034044298605414275,-0.03736352608168217,0.4552483102488459,0.25,0.0,0.0,0.0,0.21875,0.22535962301587303,32
c6_aggressive_redaction,T3,0.01788793103448276,0.4322916666666667,0.03435430463576159,-0.039707828815138,0.41151096626990624,0.25,0.0,0.0,0.09375,0.40625,0.3220734126984127,32
