requested_candidate_set_size,candidate_set_size,condition,chance_top1,chance_top3,aux_top1,aux_top3,aux_mrr
10,10,c1_direct_redaction,0.1,0.3,0.7083333333333334,0.84375,0.7927496693121693
10,10,c1b_presidio_redaction,0.1,0.3,0.59375,0.8020833333333334,0.7203786375661375
10,10,c2_consistent_pseudonym,0.1,0.3,0.4270833333333333,0.6770833333333334,0.5897073412698414
10,10,c3_per_doc_pseudonym,0.1,0.3,0.4270833333333333,0.6770833333333334,0.5897073412698414
10,10,c4_doc_local_anon,0.1,0.3,0.6041666666666666,0.84375,0.7371941137566139
10,10,c5_linkguard,0.1,0.3,0.041666666666666664,0.2604166666666667,0.2554522156084656
10,10,c6_aggressive_redaction,0.1,0.3,0.052083333333333336,0.3125,0.2756944444444444
10,10,original,0.1,0.3,0.7083333333333334,0.84375,0.7925016534391535
20,20,c1_direct_redaction,0.05,0.15,0.6458333333333334,0.7395833333333334,0.719734172077922
20,20,c1b_presidio_redaction,0.05,0.15,0.5729166666666666,0.6979166666666666,0.6640216554279054
20,20,c2_consistent_pseudonym,0.05,0.15,0.3645833333333333,0.5,0.4916135894137539
20,20,c3_per_doc_pseudonym,0.05,0.15,0.3645833333333333,0.5,0.4916135894137539
20,20,c4_doc_local_anon,0.05,0.15,0.5520833333333334,0.71875,0.6615744498556998
20,20,c5_linkguard,0.05,0.15,0.0,0.10416666666666667,0.13413948054403743
20,20,c6_aggressive_redaction,0.05,0.15,0.0,0.125,0.1398074629994618
20,20,original,0.05,0.15,0.6458333333333334,0.7395833333333334,0.7194861562049061
50,50,c1_direct_redaction,0.02,0.06,0.6354166666666666,0.7083333333333334,0.6900268577254723
50,50,c1b_presidio_redaction,0.02,0.06,0.4791666666666667,0.65625,0.5889265153113187
50,50,c2_consistent_pseudonym,0.02,0.06,0.3541666666666667,0.4166666666666667,0.4355718769020425
50,50,c3_per_doc_pseudonym,0.02,0.06,0.3541666666666667,0.4166666666666667,0.4355718769020425
50,50,c4_doc_local_anon,0.02,0.06,0.5,0.6770833333333334,0.6090496751857898
50,50,c5_linkguard,0.02,0.06,0.0,0.020833333333333332,0.06057452329336153
50,50,c6_aggressive_redaction,0.02,0.06,0.0,0.020833333333333332,0.06480006882019175
50,50,original,0.02,0.06,0.6354166666666666,0.7083333333333334,0.6899600842211987
