analysis_set,persona_id,risk_tier,rank,score_true,nearest_wrong_candidate,nearest_wrong_score,score_margin,estimated_k,generalization_steps,residual_exact_fields,residual_coarse_fields,shared_fields_with_nearest_wrong,utility_issues
top1,P0011,T3,1,0.02117447154427067,P0047,0.013607670993479357,0.007566800550791314,12,20,none,"medical_context,financial_context","occupation,family_structure,medical_context,hobby_or_affiliation,rare_event","account_correction,benefits_appeal,insurance_question,schedule_change"
top1,P0032,T3,1,0.015501400611558505,P0007,0.012774104959021546,0.0027272956525369596,5,20,none,"financial_context,legal_context","employer_type,financial_context,schedule_pattern","benefits_question,employment_dispute,hardship_request,insurance_question"
top1,P0101,T3,1,0.014951593502318183,P0097,0.01445313368989648,0.0004984598124217025,27,21,none,financial_context,"medical_context,financial_context,rare_event","benefits_question,consumer_complaint,payment_deferral,refill_request"
top1,P0117,T1,1,0.013706032960269647,P0014,0.009222601409884087,0.00448343155038556,5,19,none,none,"medical_context,financial_context,legal_context,hobby_or_affiliation","benefits_appeal,hardship_request,insurance_question,leave_request"
top3_not_top1,P0004,T2,2,0.012836789090279691,P0044,0.013269260305375358,-0.0004324712150956672,16,21,none,financial_context,"city,education,schedule_pattern","account_correction,appointment_scheduling,housing_issue,schedule_change"
top3_not_top1,P0008,T3,2,0.012794528817132556,P0016,0.015897480197949607,-0.003102951380817051,17,21,none,financial_context,"employer_type,hobby_or_affiliation","account_correction,housing_issue,leave_request,symptom_followup"
top3_not_top1,P0009,T1,2,0.010607061970101025,P0097,0.014899845687429542,-0.0042927837173285174,27,21,none,none,"family_structure,financial_context,schedule_pattern","accommodation_request,consumer_complaint,payment_deferral,symptom_followup"
top3_not_top1,P0028,T2,2,0.014499463248001658,P0057,0.015545813615128596,-0.001046350367126938,8,20,none,"family_structure,financial_context,legal_context","employer_type,financial_context,legal_context,hobby_or_affiliation,rare_event","appointment_scheduling,benefits_question,consumer_complaint,hardship_request"
top3_not_top1,P0037,T2,2,0.010907326358939888,P0029,0.012444129464587924,-0.0015368031056480352,20,21,none,financial_context,"education,family_structure,financial_context,hobby_or_affiliation","benefits_appeal,hardship_request,refill_request,schedule_change"
top3_not_top1,P0039,T1,2,0.006498347909644812,P0008,0.0066945249560855435,-0.0001961770464407311,20,21,none,none,"medical_context,legal_context,schedule_pattern","account_correction,consumer_complaint,leave_request,refill_request"
top3_not_top1,P0041,T3,2,0.014500625570903905,P0051,0.01882676733187294,-0.004326141760969035,17,21,none,financial_context,"family_structure,financial_context,schedule_pattern","account_correction,benefits_question,consumer_complaint,insurance_question"
top3_not_top1,P0056,T3,2,0.01972383473732265,P0097,0.021989021540740835,-0.002265186803418185,10,20,none,"medical_context,financial_context","family_structure,financial_context,schedule_pattern,rare_event","benefits_question,consumer_complaint,hardship_request,insurance_question"
top3_not_top1,P0097,T2,2,0.014434777064193039,P0050,0.016843950911815044,-0.0024091738476220044,6,20,none,"financial_context,legal_context","education,financial_context,hobby_or_affiliation,rare_event","housing_issue,payment_deferral,schedule_change,symptom_followup"
top3_not_top1,P0103,T2,2,0.011942065686224452,P0097,0.02353321110248495,-0.011591145416260497,5,20,none,"financial_context,legal_context","city,family_structure,financial_context","accommodation_request,consumer_complaint,insurance_question,payment_deferral"
top3_not_top1,P0104,T3,2,0.013400631749276734,P0032,0.015184750455300981,-0.0017841187060242472,27,21,none,financial_context,"financial_context,legal_context,schedule_pattern","consumer_complaint,fraud_inquiry,insurance_question,schedule_change"
top3_not_top1,P0109,T2,2,0.014114033006430198,P0056,0.015260900252862968,-0.0011468672464327694,13,20,none,"medical_context,financial_context","occupation,family_structure,medical_context,rare_event","accommodation_request,housing_issue,payment_deferral,symptom_followup"
top3_not_top1,P0119,T3,2,0.012352983746225905,P0097,0.022287461083894868,-0.009934477337668963,6,20,none,"financial_context,legal_context","medical_context,financial_context,legal_context,rare_event","accommodation_request,consumer_complaint,fraud_inquiry,insurance_question"
top3_not_top1,P0014,T3,3,0.013513827711366999,P0056,0.020876385210294227,-0.007362557498927228,5,19,none,"medical_context,financial_context,legal_context","employer_type,education,family_structure,medical_context","hardship_request,housing_issue,insurance_question,leave_request"
top3_not_top1,P0019,T2,3,0.00968832208339105,P0109,0.022421613742835793,-0.012733291659444743,13,20,none,"medical_context,financial_context","city,legal_context","account_correction,benefits_question,housing_issue,insurance_question"
top3_not_top1,P0033,T1,3,0.006070600077481862,P0018,0.010951928980188489,-0.004881328902706627,15,21,none,none,"occupation,medical_context,hobby_or_affiliation","account_correction,consumer_complaint,leave_request,symptom_followup"
top3_not_top1,P0044,T3,3,0.012983219411031054,P0000,0.014923128641630303,-0.0019399092305992498,8,20,none,"financial_context,legal_context","employer_type,financial_context,hobby_or_affiliation","appointment_scheduling,consumer_complaint,leave_request,payment_deferral"
top3_not_top1,P0057,T1,3,0.005958064809918246,P0018,0.008077954992842676,-0.00211989018292443,8,20,none,none,"city,employer_type,education,hobby_or_affiliation","account_correction,housing_issue,insurance_question,leave_request"
top3_not_top1,P0061,T2,3,0.015616618250754949,P0056,0.022406078758951238,-0.0067894605081962895,7,20,none,"medical_context,financial_context","city,education,schedule_pattern,hobby_or_affiliation","accommodation_request,appointment_scheduling,hardship_request,housing_issue"
top3_not_top1,P0099,T1,3,0.004769587938708526,P0014,0.007949513057470008,-0.0031799251187614817,13,20,none,none,"education,medical_context,hobby_or_affiliation","accommodation_request,consumer_complaint,hardship_request,symptom_followup"
top3_not_top1,P0106,T2,3,0.009536962842940446,P0025,0.011749066512027624,-0.002212103669087178,16,21,none,financial_context,"city,occupation,family_structure","benefits_question,consumer_complaint,payment_deferral,symptom_followup"
