condition,risk_tier,n,top1,top3,mean_rank
c1_direct_redaction,T2,6,0.5,0.8333333333333334,2.0
c1_direct_redaction,T3,6,1.0,1.0,1.0
c1b_presidio_redaction,T2,6,0.3333333333333333,1.0,1.8333333333333333
c1b_presidio_redaction,T3,6,0.6666666666666666,1.0,1.3333333333333333
c4_doc_local_anon,T2,6,0.5,0.6666666666666666,2.5
c4_doc_local_anon,T3,6,1.0,1.0,1.0
c4_openai_doc_local,T2,6,0.3333333333333333,1.0,1.8333333333333333
c4_openai_doc_local,T3,6,1.0,1.0,1.0
c5_linkguard,T2,6,0.16666666666666666,0.16666666666666666,5.166666666666667
c5_linkguard,T3,6,0.3333333333333333,0.8333333333333334,2.5
c6_aggressive_redaction,T2,6,0.16666666666666666,0.8333333333333334,2.6666666666666665
c6_aggressive_redaction,T3,6,0.16666666666666666,0.5,3.6666666666666665
