task,bucket,condition,persona_id,risk_tier,cache_key,cached,input_chars,max_output_tokens,reasoning_effort
evidence::direct_success::c1_direct_redaction,direct_success,c1_direct_redaction,P0002,T3,acb344d9b24253f14ffb61501f2c54ce27224e25de99d089251e293d190caa2d,True,3601,650,none
evidence::direct_success::c1_direct_redaction,direct_success,c1_direct_redaction,P0005,T3,7ba362cfdfd806af911ac5fc51b17a2c2eb687bf65c8f8ee31ab8f33756ab6d7,True,3552,650,none
evidence::direct_success::c1_direct_redaction,direct_success,c1_direct_redaction,P0008,T3,b181e4865035a5238747aa31a9bd4446f5a5023033e8fbecb65ae9e726bb5f61,True,3602,650,none
evidence::direct_success::c1_direct_redaction,direct_success,c1_direct_redaction,P0011,T3,cfb727e5201dc2ee533c007ae1d5fbf0ad22b4d3c7caf1727ace085abc18000d,True,3597,650,none
evidence::direct_success::c1_direct_redaction,direct_success,c1_direct_redaction,P0001,T2,baa5ff863e4ab811f3473f88dbc14c996e5831105da3dc0de677f6198c31e2b3,True,3708,650,none
evidence::direct_success::c1_direct_redaction,direct_success,c1_direct_redaction,P0004,T2,6a573a58736584c71cf5c1cde1b3a526bd578959bdd030eb36660cba2b64b5a2,True,3682,650,none
evidence::direct_success::c1_direct_redaction,direct_success,c1_direct_redaction,P0007,T2,17d811e83f49af222ffbedf8d2b733a5112bea8336e320ab7d477d4a909727a7,True,3714,650,none
evidence::direct_success::c1_direct_redaction,direct_success,c1_direct_redaction,P0010,T2,5bd2b4387f0ed4d3ec43bf414352411d0aecfd09c7d36ec8cc1ca6a93f0be6b4,True,3700,650,none
evidence::linkguard_residual::c5_linkguard,linkguard_residual,c5_linkguard,P0002,T3,6f678633be3a572237b7acb29353c43098a55ba6a24d419ec253104e6835e55d,True,3521,650,none
evidence::linkguard_residual::c5_linkguard,linkguard_residual,c5_linkguard,P0005,T3,1f9df6ae207b048ef310f1670faded9f6d11b57b198ac2c7cc8aad16101622b3,True,3529,650,none
evidence::linkguard_residual::c5_linkguard,linkguard_residual,c5_linkguard,P0011,T3,89145f65f55b4aa7c30552199eab5b81f6a44fa1f89d51c0de11f8271637fefa,True,3537,650,none
evidence::linkguard_residual::c5_linkguard,linkguard_residual,c5_linkguard,P0014,T3,ae26ca350cd2f3e6383bd51f447f02d3b24028c3a3ff51bd4f843b4951b7cf16,True,3534,650,none
evidence::linkguard_residual::c5_linkguard,linkguard_residual,c5_linkguard,P0007,T2,1cd19a8355d9f2fef85d059cf2935abef9fe967edba32edaa697bbf0342232ea,True,3614,650,none
evidence::linkguard_residual::c5_linkguard,linkguard_residual,c5_linkguard,P0019,T2,996b0c61b6ae8d6cbd003736e98da8ed294771f4532930619c4054a9e67eaa06,True,3594,650,none
evidence::linkguard_residual::c5_linkguard,linkguard_residual,c5_linkguard,P0025,T2,5bf60216f3501a98a9bfdf060f9516b9f748c41029e6539cb36c3c2a30db5afa,True,3569,650,none
evidence::linkguard_residual::c5_linkguard,linkguard_residual,c5_linkguard,P0037,T2,e51c3ee3f9a56a9ec64b000ca4fdd701f91ae2efb001b36939b3d5e8bd073966,True,3551,650,none
evidence::aggressive_failure::c6_aggressive_redaction,aggressive_failure,c6_aggressive_redaction,P0002,T3,e64ac683f80124c5de39772126fbdb60799a7ace0f60421d784788149da624c4,True,3351,650,none
evidence::aggressive_failure::c6_aggressive_redaction,aggressive_failure,c6_aggressive_redaction,P0008,T3,ba26858da9a9add35826722bf1bb33293c90aeb66cb26c39baf4d837da2124b9,True,3355,650,none
evidence::aggressive_failure::c6_aggressive_redaction,aggressive_failure,c6_aggressive_redaction,P0017,T3,eefb7ed1b792eafddd813855bd63fa4e91602fdb8fe5487d2fc4d38d69104033,True,3375,650,none
evidence::aggressive_failure::c6_aggressive_redaction,aggressive_failure,c6_aggressive_redaction,P0020,T3,95f5b2aa060977bfcdd63c19742c6c6c2b5eab6281fde5c119609705982b28e6,True,3298,650,none
evidence::aggressive_failure::c6_aggressive_redaction,aggressive_failure,c6_aggressive_redaction,P0001,T2,f332957da0aa95f55d5df796f5ae757b489fd4754620dd8e8371d095abfb3cff,True,3447,650,none
evidence::aggressive_failure::c6_aggressive_redaction,aggressive_failure,c6_aggressive_redaction,P0016,T2,3ac7d9c15fb6f80891362d8d23db00ef2aa102c5ddaaf6eefb1866061eb04e93,True,3442,650,none
evidence::aggressive_failure::c6_aggressive_redaction,aggressive_failure,c6_aggressive_redaction,P0028,T2,840007eff237c4df6be01f50c97f70170f1a5d5b72f4b6c801da4a803284c2f0,True,3435,650,none
evidence::aggressive_failure::c6_aggressive_redaction,aggressive_failure,c6_aggressive_redaction,P0034,T2,6874268841c73e0f9768171e1c8989962998a0a1665a9034a4bd5df493d2dc33,True,3412,650,none
