condition,condition_label,query_type,query_label,n_personas,top1_doc_hit,hit_at_5,hit_at_10,multi_doc_at_10,target_doc_recall_at_10,mrr
c1_direct_redaction,C1 direct redaction,short,Short,96,0.13541666666666666,0.3541666666666667,0.5416666666666666,0.19791666666666666,0.18489583333333334,0.25658408416516426
c1_direct_redaction,C1 direct redaction,medium,Medium,96,0.3333333333333333,0.3645833333333333,0.3854166666666667,0.3333333333333333,0.2265625,0.3577806237472252
c1_direct_redaction,C1 direct redaction,verbose,Verbose,96,0.3333333333333333,0.375,0.5833333333333334,0.3541666666666667,0.3359375,0.38416024430143114
c1b_presidio_redaction,C1b Presidio redaction,short,Short,96,0.125,0.3229166666666667,0.40625,0.28125,0.171875,0.2208363812984976
c1b_presidio_redaction,C1b Presidio redaction,medium,Medium,96,0.3229166666666667,0.3541666666666667,0.375,0.3125,0.19270833333333334,0.34696768198962125
c1b_presidio_redaction,C1b Presidio redaction,verbose,Verbose,96,0.3333333333333333,0.375,0.5416666666666666,0.3333333333333333,0.3020833333333333,0.38261522038067897
c4_doc_local_anon,C4 doc-local proxy,short,Short,96,0.2916666666666667,0.4375,0.6041666666666666,0.20833333333333334,0.20572916666666666,0.37214152185381755
c4_doc_local_anon,C4 doc-local proxy,medium,Medium,96,0.3229166666666667,0.3333333333333333,0.3333333333333333,0.3125,0.1796875,0.3340101199045817
c4_doc_local_anon,C4 doc-local proxy,verbose,Verbose,96,0.3333333333333333,0.375,0.53125,0.3333333333333333,0.3046875,0.38055454979815556
c5_linkguard,C5 LinkGuard,short,Short,96,0.0,0.020833333333333332,0.041666666666666664,0.0,0.010416666666666666,0.027563074981195684
c5_linkguard,C5 LinkGuard,medium,Medium,96,0.020833333333333332,0.08333333333333333,0.125,0.0,0.03125,0.06436135193359706
c5_linkguard,C5 LinkGuard,verbose,Verbose,96,0.07291666666666667,0.2604166666666667,0.3958333333333333,0.03125,0.10677083333333333,0.17819036228389115
c6_aggressive_redaction,C6 aggressive redaction,short,Short,96,0.010416666666666666,0.041666666666666664,0.08333333333333333,0.0,0.020833333333333332,0.042459161445782184
c6_aggressive_redaction,C6 aggressive redaction,medium,Medium,96,0.010416666666666666,0.041666666666666664,0.09375,0.0,0.0234375,0.042081713498026314
c6_aggressive_redaction,C6 aggressive redaction,verbose,Verbose,96,0.0,0.03125,0.07291666666666667,0.0,0.018229166666666668,0.038644695137732464
